comparison,group_id,group_title,factor,left,right,left_value,right_value,left_ok,right_ok,common_ok,left_only,right_only,result_agreements,result_mismatches,left_reference_checked,left_reference_mismatches,right_reference_checked,right_reference_mismatches,metric,paired_values,left_total,right_total,aggregate_relative_change,decreased,tied,increased
1,focused-p32,一、P32 与 P33/gap 区间配置对比,hk update gap ratio、hk update min gap ratio,P32,P33>1%,hk update gap ratio=0.02；hk update min gap ratio=0.0,hk update gap ratio=0.1；hk update min gap ratio=0.01,40,35,35,ch130.tsp;ch150.tsp;kroA150.tsp;kroE100.tsp;rat195.tsp,,35,,40,,35,,wall_seconds,35,1706.5443426035345,3601.3601791206747,1.1103232358008204,5,0,30
1,focused-p32,一、P32 与 P33/gap 区间配置对比,hk update gap ratio、hk update min gap ratio,P32,P33>1%,hk update gap ratio=0.02；hk update min gap ratio=0.0,hk update gap ratio=0.1；hk update min gap ratio=0.01,40,35,35,ch130.tsp;ch150.tsp;kroA150.tsp;kroE100.tsp;rat195.tsp,,35,,40,,35,,branches,35,3627916.0,626898690.0,171.7985681035614,0,10,25
1,focused-p32,一、P32 与 P33/gap 区间配置对比,hk update gap ratio、hk update min gap ratio,P32,P33>1%,hk update gap ratio=0.02；hk update min gap ratio=0.0,hk update gap ratio=0.1；hk update min gap ratio=0.01,40,35,35,ch130.tsp;ch150.tsp;kroA150.tsp;kroE100.tsp;rat195.tsp,,35,,40,,35,,search_node_potential_updates_skipped_total,35,294864.0,449514786.0,1523.4817475174996,0,9,26
2,focused-p32,一、P32 与 P33/gap 区间配置对比,hk update gap ratio、hk update min gap ratio,P32,P33>2%,hk update gap ratio=0.02；hk update min gap ratio=0.0,hk update gap ratio=0.1；hk update min gap ratio=0.02,40,30,30,ch130.tsp;ch150.tsp;gr120.tsp;kroA100.tsp;kroA150.tsp;kroB100.tsp;kroE100.tsp;pr144.tsp;pr76.tsp;rat195.tsp,,30,,40,,30,,wall_seconds,30,445.6834863740951,1332.9140207208693,1.9907188878926871,10,0,20
2,focused-p32,一、P32 与 P33/gap 区间配置对比,hk update gap ratio、hk update min gap ratio,P32,P33>2%,hk update gap ratio=0.02；hk update min gap ratio=0.0,hk update gap ratio=0.1；hk update min gap ratio=0.02,40,30,30,ch130.tsp;ch150.tsp;gr120.tsp;kroA100.tsp;kroA150.tsp;kroB100.tsp;kroE100.tsp;pr144.tsp;pr76.tsp;rat195.tsp,,30,,40,,30,,branches,30,294587.0,102701522.0,347.6288329084447,0,10,20
2,focused-p32,一、P32 与 P33/gap 区间配置对比,hk update gap ratio、hk update min gap ratio,P32,P33>2%,hk update gap ratio=0.02；hk update min gap ratio=0.0,hk update gap ratio=0.1；hk update min gap ratio=0.02,40,30,30,ch130.tsp;ch150.tsp;gr120.tsp;kroA100.tsp;kroA150.tsp;kroB100.tsp;kroE100.tsp;pr144.tsp;pr76.tsp;rat195.tsp,,30,,40,,30,,search_node_potential_updates_skipped_total,30,397.0,72863093.0,183533.23929471034,0,9,21
3,focused-p32,一、P32 与 P33/gap 区间配置对比,hk update gap ratio、hk update min gap ratio,P32,P33>5%,hk update gap ratio=0.02；hk update min gap ratio=0.0,hk update gap ratio=0.1；hk update min gap ratio=0.05,40,30,30,ch130.tsp;ch150.tsp;gr120.tsp;kroA150.tsp;kroB100.tsp;kroE100.tsp;pr144.tsp;pr76.tsp;rat195.tsp;u159.tsp,,30,,40,,30,,wall_seconds,30,219.34062741696835,1716.767187943682,6.8269457334964825,5,0,25
3,focused-p32,一、P32 与 P33/gap 区间配置对比,hk update gap ratio、hk update min gap ratio,P32,P33>5%,hk update gap ratio=0.02；hk update min gap ratio=0.0,hk update gap ratio=0.1；hk update min gap ratio=0.05,40,30,30,ch130.tsp;ch150.tsp;gr120.tsp;kroA150.tsp;kroB100.tsp;kroE100.tsp;pr144.tsp;pr76.tsp;rat195.tsp;u159.tsp,,30,,40,,30,,branches,30,510366.0,374162867.0,732.1265542767347,0,10,20
3,focused-p32,一、P32 与 P33/gap 区间配置对比,hk update gap ratio、hk update min gap ratio,P32,P33>5%,hk update gap ratio=0.02；hk update min gap ratio=0.0,hk update gap ratio=0.1；hk update min gap ratio=0.05,40,30,30,ch130.tsp;ch150.tsp;gr120.tsp;kroA150.tsp;kroB100.tsp;kroE100.tsp;pr144.tsp;pr76.tsp;rat195.tsp;u159.tsp,,30,,40,,30,,search_node_potential_updates_skipped_total,30,61844.0,273277979.0,4417.827679322166,0,9,21
4,focused-p32,一、P32 与 P33/gap 区间配置对比,hk update gap ratio、hk update min gap ratio,P32,gap0.005-0.01,hk update gap ratio=0.02；hk update min gap ratio=0.0,hk update gap ratio=0.01；hk update min gap ratio=0.005,40,34,34,ch130.tsp;ch150.tsp;kroA150.tsp;pr144.tsp;pr76.tsp;rat195.tsp,,34,,40,,34,,wall_seconds,34,693.278223881498,1823.0045385267586,1.629542477650884,9,0,25
4,focused-p32,一、P32 与 P33/gap 区间配置对比,hk update gap ratio、hk update min gap ratio,P32,gap0.005-0.01,hk update gap ratio=0.02；hk update min gap ratio=0.0,hk update gap ratio=0.01；hk update min gap ratio=0.005,40,34,34,ch130.tsp;ch150.tsp;kroA150.tsp;pr144.tsp;pr76.tsp;rat195.tsp,,34,,40,,34,,branches,34,1346502.0,264849152.0,195.69421359938568,0,10,24
4,focused-p32,一、P32 与 P33/gap 区间配置对比,hk update gap ratio、hk update min gap ratio,P32,gap0.005-0.01,hk update gap ratio=0.02；hk update min gap ratio=0.0,hk update gap ratio=0.01；hk update min gap ratio=0.005,40,34,34,ch130.tsp;ch150.tsp;kroA150.tsp;pr144.tsp;pr76.tsp;rat195.tsp,,34,,40,,34,,search_node_potential_updates_skipped_total,34,152510.0,186186482.0,1219.8149104976724,0,9,25
